Kinase,Group,Family,Gene Symbol
PSKH1,CAMK,PSK,PSKH1
PSKH2,CAMK,PSK,PSKH2
CHK2,CAMK,RAD53,CHEK2
SgK495,CAMK,SgK495,STK40
Trb1,CAMK,Trbl,TRIB1
Trb2,CAMK,Trbl,TRIB2
Trb3,CAMK,Trbl,TRIB3
Obscn,CAMK,Trio,OBSCN
SPEG,CAMK,Trio,LOC729871
Trio,CAMK,Trio,TRIO
Trad,CAMK,Trio,KALRN
TSSK2,CAMK,TSSK,TSSK2
TSSK3,CAMK,TSSK,TSSK3
TSSK1,CAMK,TSSK,TSSK1B
SSTK,CAMK,TSSK,TSSK6
TSSK4,CAMK,TSSK,TSSK4
CK1a,CK1,CK1,CSNK1A1
CK1a2,CK1,CK1,CSNK1A1L
CK1d,CK1,CK1,CSNK1D
CK1e,CK1,CK1,CSNK1E
CK1g2,CK1,CK1,CSNK1G2
CK1g3,CK1,CK1,CSNK1G3
CK1g1,CK1,CK1,CSNK1G1
TTBK1,CK1,TTBK,TTBK1
TTBK2,CK1,TTBK,TTBK2
VRK1,CK1,VRK,VRK1
VRK2,CK1,VRK,VRK2
VRK3,CK1,VRK,VRK3
CCRK,CMGC,CDK,CCRK
CDC2,CMGC,CDK,CDC2
CDK2,CMGC,CDK,CDK2
CDK3,CMGC,CDK,CDK3
CDK10,CMGC,CDK,CDK10
CDK4,CMGC,CDK,CDK4
CDK6,CMGC,CDK,CDK6
CDK5,CMGC,CDK,CDK5
CDK7,CMGC,CDK,CDK7
CDK8,CMGC,CDK,CDK8
CDK11,CMGC,CDK,CDC2L6
CDK9,CMGC,CDK,CDK9
CHED,CMGC,CDK,CDC2L5
CRK7,CMGC,CDK,CRKRS
PCTAIRE1,CMGC,CDK,PCTK1
PCTAIRE2,CMGC,CDK,PCTK2
PCTAIRE3,CMGC,CDK,PCTK3
PFTAIRE1,CMGC,CDK,PFTK1
PFTAIRE2,CMGC,CDK,ALS2CR7
PITSLRE,CMGC,CDK,CDC2L2
CDKL5,CMGC,CDKL,CDKL5
CDKL1,CMGC,CDKL,CDKL1
CDKL2,CMGC,CDKL,CDKL2
CDKL3,CMGC,CDKL,CDKL3
CDKL4,CMGC,CDKL,CDKL4
CK2a1,CMGC,CK2,CSNK2A1
CK2a2,CMGC,CK2,CSNK2A2
CLK1,CMGC,CLK,CLK1
CLK2,CMGC,CLK,CLK2
CLK3,CMGC,CLK,CLK3
CLK4,CMGC,CLK,CLK4
DYRK1A,CMGC,DYRK,DYRK1A
DYRK1B,CMGC,DYRK,DYRK1B
DYRK3,CMGC,DYRK,DYRK3
DYRK2,CMGC,DYRK,DYRK2
DYRK4,CMGC,DYRK,DYRK4
HIPK3,CMGC,DYRK,HIPK3
HIPK2,CMGC,DYRK,HIPK2
HIPK4,CMGC,DYRK,HIPK4
HIPK1,CMGC,DYRK,HIPK1
PRP4,CMGC,DYRK,PRPF4B
GSK3A,CMGC,GSK,GSK3A
GSK3B,CMGC,GSK,GSK3B
Erk2(MAPK1),CMGC,MAPK,MAPK1
Erk1(MAPK3),CMGC,MAPK,MAPK3
Erk4(MAPK4),CMGC,MAPK,MAPK4
Erk3(MAPK6),CMGC,MAPK,MAPK6
Erk5(MAPK7),CMGC,MAPK,MAPK7
Erk7(MAPK15),CMGC,MAPK,MAPK15
JNK1(MAPK8),CMGC,MAPK,MAPK8
JNK2(MAPK9),CMGC,MAPK,MAPK9
JNK3(MAPK10),CMGC,MAPK,MAPK10
NLK,CMGC,MAPK,NLK
p38a(MAPK14),CMGC,MAPK,MAPK14
p38b(MAPK11),CMGC,MAPK,MAPK11
p38d(MAPK13),CMGC,MAPK,MAPK13
